,자치구,행정동,만0~2세_인구수,만3~5세_인구수,만0~2세_국공립,만0~2세_가정,만0~2세_민간,만0~2세_기타,만3~5세_국공립,만3~5세_가정,만3~5세_민간,만3~5세_기타,만3~5세_유치원,만0~2세_어린이집,만3~5세_어린이집,만0~2세_가정보육,만3~5세_가정보육,만0~2세_어린이집_이용률,만0~2세_국공립_이용률,만0~2세_가정_이용률,만0~2세_민간_이용률,만0~2세_기타_이용률,만3~5세_어린이집_이용률,만3~5세_국공립_이용률,만3~5세_가정_이용률,만3~5세_민간_이용률,만3~5세_기타_이용률,만3~5세_유치원_이용률,만0~2세_추가이용_희망아동수,만3~5세_추가이용_희망아동수,만0~2세_미충족_보육수요,만3~5세_미충족_보육수요,만0~2세_전체_보육수요,만3~5세_전체_보육수요,만0~2세_국공립_희망아동수,만3~5세_국공립_희망아동수,만0~2세_국공립_미충족_보육수요,만3~5세_국공립_미충족_보육수요,만0~2세_국공립_보육수요,만3~5세_국공립_보육수요,코드
125,z,묵정동,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140136
126,z,필동1가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140137
127,z,필동2가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140138
128,z,필동3가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140139
129,z,남학동,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140140
130,z,주자동,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140141
131,z,예장동,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140142
132,z,장충동1가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140143
133,z,장충동2가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140144
134,z,광희동1가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140145
135,z,광희동2가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140146
136,z,쌍림동,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140147
137,z,을지로6가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140148
138,z,을지로7가,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11140149
