기간,자치구,행정동,계_정원,국공립_정원,사회복지법인_정원,법인·단체 등_정원,민간_정원,가정_정원,부모협동_정원,직장_정원,계_현원,국공립_현원,사회복지법인_현원,법인·단체 등_현원,민간_현원,가정_현원,부모협동_현원,직장_현원
2020,금천구,시흥5동,1133,193,223,0,677,40,0,0,753,144,193,0,394,22,0,0
2020,영등포구,여의동,2699,165,0,0,0,79,0,2455,2155,160,0,0,0,75,0,1920
2020,영등포구,당산1동,705,328,0,0,255,77,0,45,610,293,0,0,232,62,0,23
2020,영등포구,당산2동,879,483,0,0,222,139,0,35,685,374,0,0,158,124,0,29
2020,영등포구,양평1동,529,242,0,0,186,101,0,0,449,213,0,0,154,82,0,0
2020,영등포구,양평2동,666,235,44,26,0,158,0,203,545,212,24,0,0,144,0,165
2020,영등포구,신길1동,420,223,0,0,152,45,0,0,357,194,0,0,124,39,0,0
2020,영등포구,신길3동,362,159,0,0,99,104,0,0,310,140,0,0,94,76,0,0
2020,영등포구,신길4동,462,314,0,0,148,0,0,0,438,303,0,0,135,0,0,0
2020,영등포구,신길5동,240,240,0,0,0,0,0,0,190,190,0,0,0,0,0,0
2020,영등포구,신길6동,637,252,0,0,313,72,0,0,516,230,0,0,222,64,0,0
2020,영등포구,신길7동,461,270,0,0,34,95,0,62,411,256,0,0,33,86,0,36
2020,영등포구,대림1동,411,129,0,0,262,20,0,0,386,126,0,0,240,20,0,0
2020,영등포구,대림2동,309,138,0,0,151,20,0,0,244,114,0,0,112,18,0,0
2020,영등포구,대림3동,654,339,0,0,221,94,0,0,534,287,0,0,172,75,0,0
