기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,동작구,상도2동,21,7,0,0,5,9,0,0
2020,동작구,상도3동,15,3,0,0,8,4,0,0
2020,동작구,상도4동,17,4,0,0,5,7,1,0
2020,동작구,사당1동,7,2,0,1,3,1,0,0
2020,동작구,사당3동,11,6,0,0,2,3,0,0
2020,동작구,사당4동,9,2,0,0,4,3,0,0
2020,동작구,사당5동,7,3,0,0,1,3,0,0
2020,동작구,대방동,16,5,0,0,3,7,0,1
2020,동작구,신대방1동,13,3,0,0,4,6,0,0
2020,동작구,신대방2동,15,6,0,0,2,4,0,3
2020,동작구,흑석동,18,6,0,0,4,6,0,2
2020,동작구,노량진1동,18,6,0,1,3,8,0,0
2020,동작구,사당2동,17,6,1,0,1,9,0,0
2020,관악구,보라매동,14,4,0,0,8,1,0,1
2020,관악구,청림동,17,9,0,0,0,8,0,0
2020,관악구,행운동,13,5,0,1,3,4,0,0
2020,관악구,낙성대동,9,3,0,1,3,0,0,2
2020,관악구,중앙동,2,2,0,0,0,0,0,0
2020,관악구,인헌동,10,4,0,0,3,3,0,0
2020,관악구,남현동,7,1,0,1,2,2,0,1
2020,관악구,서원동,8,5,0,0,2,0,1,0
2020,관악구,신원동,7,2,0,0,5,0,0,0
2020,관악구,서림동,9,2,1,0,1,5,0,0
2020,관악구,신사동,10,4,0,0,4,2,0,0
2020,관악구,신림동,3,2,0,0,1,0,0,0
2020,관악구,난향동,13,3,0,0,3,7,0,0
2020,관악구,조원동,8,4,0,0,2,2,0,0
2020,관악구,대학동,6,1,0,1,1,3,0,0
2020,관악구,은천동,21,7,0,0,4,10,0,0
2020,관악구,성현동,19,5,0,0,3,11,0,0
2020,관악구,청룡동,11,6,0,0,3,1,0,1
2020,관악구,난곡동,14,5,1,1,5,2,0,0
2020,관악구,삼성동,8,5,0,0,1,2,0,0
2020,관악구,미성동,12,5,0,0,5,2,0,0
2020,서초구,서초1동,12,4,0,0,1,4,0,3
2020,서초구,서초2동,10,4,0,0,2,1,0,3
2020,서초구,서초3동,10,3,0,0,2,1,1,3
2020,서초구,서초4동,10,6,0,0,2,1,0,1
2020,서초구,잠원동,11,4,0,0,1,5,0,1
2020,서초구,반포본동,2,2,0,0,0,0,0,0
2020,서초구,반포1동,9,5,0,0,3,1,0,0
2020,서초구,반포2동,7,4,0,0,2,1,0,0
2020,서초구,반포3동,13,5,0,0,1,7,0,0
2020,서초구,반포4동,9,4,0,0,1,2,0,2
2020,서초구,방배본동,5,3,0,0,1,0,0,1
2020,서초구,방배1동,7,2,0,0,1,4,0,0
2020,서초구,방배2동,11,5,0,1,1,3,0,1
2020,서초구,방배3동,7,4,0,0,1,2,0,0
2020,서초구,방배4동,9,2,0,0,3,4,0,0
2020,서초구,양재1동,27,10,0,0,7,7,1,2
2020,서초구,양재2동,10,6,0,0,1,2,0,1
2020,서초구,내곡동,15,10,0,0,1,1,0,3
2020,강남구,신사동,4,2,0,0,1,1,0,0
2020,강남구,논현1동,4,2,0,0,1,1,0,0
2020,강남구,논현2동,4,1,0,0,1,0,0,2
2020,강남구,삼성1동,8,2,0,0,1,1,0,4
