,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
252,2020,양천구,신정2동,364,164,,,72,128,,,322,159,,,65,98,,
253,2020,양천구,신정3동,"1,248",738,,,217,293,,,890,595,,,122,173,,
254,2020,양천구,신정6동,436,69,,,206,97,,64,385,65,,,178,86,,56
255,2020,양천구,신정7동,722,505,,,,181,,36,591,412,,,,149,,30
256,2020,양천구,목5동,641,268,,,167,157,,49,574,238,,,157,138,,41
257,2020,양천구,신정4동,"1,117",409,,,537,106,,65,786,350,,,330,69,,37
258,2020,강서구,소계,"16,062","5,220",272,233,"6,336","2,885",134,982,"12,520","4,417",201,184,"4,617","2,229",100,772
259,2020,강서구,염창동,"1,404",336,,,659,290,,119,"1,117",308,,,500,238,,71
260,2020,강서구,등촌1동,505,144,,,124,89,,148,450,125,,,122,82,,121
261,2020,강서구,등촌2동,364,77,,,214,58,15,,309,73,,,185,43,8,
262,2020,강서구,등촌3동,656,468,,,32,107,49,,523,357,,,27,91,48,
263,2020,강서구,화곡본동,"1,433",263,,59,972,104,35,,"1,006",218,,44,659,60,25,
264,2020,강서구,화곡2동,602,372,,60,104,66,,,516,320,,57,79,60,,
265,2020,강서구,화곡3동,561,170,,114,189,88,,,468,159,,83,158,68,,
266,2020,강서구,화곡4동,616,79,,,446,91,,,429,67,,,300,62,,
267,2020,강서구,화곡6동,617,120,,,394,19,35,49,472,91,,,313,16,19,33
268,2020,강서구,화곡8동,554,181,,,283,90,,,400,152,,,184,64,,
269,2020,강서구,가양1동,"1,029",191,,,110,196,,532,881,164,,,103,152,,462
