,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
242,2020,양천구,신월1동,17,2,-,-,8,7,-,-
243,2020,양천구,신월2동,20,3,-,-,3,14,-,-
244,2020,양천구,신월3동,14,4,-,-,4,5,-,1
245,2020,양천구,신월4동,18,3,-,-,4,11,-,-
246,2020,양천구,신월5동,13,4,-,-,2,5,1,1
247,2020,양천구,신월6동,10,5,-,-,2,3,-,-
248,2020,양천구,신월7동,12,2,-,-,5,5,-,-
249,2020,양천구,신정1동,10,2,-,-,1,6,-,1
250,2020,양천구,신정2동,11,2,-,-,2,7,-,-
251,2020,양천구,신정3동,37,19,-,-,2,16,-,-
252,2020,양천구,신정6동,11,2,-,-,2,6,-,1
253,2020,양천구,신정7동,19,6,-,-,-,12,-,1
254,2020,양천구,목5동,16,4,-,-,2,9,-,1
255,2020,양천구,신정4동,21,9,-,-,5,6,-,1
256,2020,강서구,소계,373,90,2,3,103,156,4,15
257,2020,강서구,염창동,33,7,-,-,9,15,-,2
258,2020,강서구,등촌1동,13,4,-,-,2,5,-,2
259,2020,강서구,등촌2동,10,2,-,-,4,3,1,-
260,2020,강서구,등촌3동,16,8,-,-,1,6,1,-
261,2020,강서구,화곡본동,29,4,-,1,17,6,1,-
262,2020,강서구,화곡2동,10,3,-,1,2,4,-,-
263,2020,강서구,화곡3동,13,4,-,1,3,5,-,-
264,2020,강서구,화곡4동,12,1,-,-,6,5,-,-
265,2020,강서구,화곡6동,11,2,-,-,6,1,1,1
266,2020,강서구,화곡8동,14,4,-,-,5,5,-,-
267,2020,강서구,가양1동,22,3,-,-,2,10,-,7
268,2020,강서구,가양2동,6,3,-,-,1,2,-,-
269,2020,강서구,가양3동,13,3,-,-,3,7,-,-
270,2020,강서구,발산1동,35,8,1,-,10,15,-,1
271,2020,강서구,공항동,21,6,1,-,-,13,-,1
272,2020,강서구,방화1동,37,12,-,-,4,21,-,-
273,2020,강서구,방화2동,11,3,-,-,3,5,-,-
274,2020,강서구,방화3동,14,4,-,-,5,5,-,-
275,2020,강서구,화곡1동,24,4,-,-,14,6,-,-
276,2020,강서구,우장산동,29,5,-,-,6,17,-,1
277,2020,구로구,소계,299,92,3,5,68,119,4,8
278,2020,구로구,신도림동,31,6,-,-,9,16,-,-
279,2020,구로구,구로1동,25,4,-,1,1,17,-,2
280,2020,구로구,구로3동,22,9,-,2,3,6,-,2
281,2020,구로구,구로4동,17,6,-,-,2,9,-,-
282,2020,구로구,구로5동,19,3,-,1,7,8,-,-
283,2020,구로구,고척1동,14,3,1,-,5,5,-,-
284,2020,구로구,고척2동,21,5,1,1,8,6,-,-
285,2020,구로구,개봉2동,23,10,-,-,3,10,-,-
286,2020,구로구,개봉3동,10,4,-,-,4,2,-,-
287,2020,구로구,오류1동,13,3,-,-,3,5,1,1
288,2020,구로구,수궁동,12,2,-,-,5,3,2,-
289,2020,구로구,가리봉동,3,2,-,-,1,-,-,-
290,2020,구로구,구로2동,16,3,-,-,7,4,-,2
291,2020,구로구,개봉1동,21,7,1,-,5,8,-,-
292,2020,구로구,오류2동,34,15,-,-,5,12,1,1
293,2020,구로구,항동,18,10,-,-,-,8,-,-
294,2020,금천구,소계,150,54,1,10,40,38,-,7
295,2020,금천구,가산동,12,3,-,2,3,-,-,4
296,2020,금천구,독산1동,26,14,-,1,2,7,-,2
297,2020,금천구,독산2동,17,5,-,-,5,7,-,-
298,2020,금천구,독산3동,11,3,-,1,5,2,-,-
299,2020,금천구,독산4동,10,3,-,-,6,1,-,-
300,2020,금천구,시흥1동,24,6,-,2,4,11,-,1
301,2020,금천구,시흥2동,18,11,-,-,-,7,-,-
302,2020,금천구,시흥3동,4,2,-,1,1,-,-,-
303,2020,금천구,시흥4동,14,3,-,3,7,1,-,-
304,2020,금천구,시흥5동,14,4,1,-,7,2,-,-
305,2020,영등포구,소계,240,78,2,2,48,76,-,34
